team,avg_win_shares,avg_vorp,avg_years_active,players_drafted
NOH,45.22,15.48,9.69,14
SEA,29.69,8.4,8.49,54
CHH,28.46,8.34,8.35,24
TOR,25.98,7.05,7.03,43
VAN,25.72,6.56,6.91,13
CLE,24.39,7.19,7.27,55
SAS,22.52,6.08,6.96,62
CHA,22.13,4.63,7.79,20
GSW,21.07,5.79,6.41,66
NJN,21.0,5.49,6.86,42
DEN,20.97,5.2,6.54,64
WSB,20.84,3.15,8.29,16
HOU,20.05,4.53,7.04,61
MIL,18.76,4.65,6.8,69
MIN,18.46,4.99,6.34,77
MEM,18.45,5.19,6.27,36
ORL,18.3,4.75,6.03,68
LAL,17.88,4.73,6.55,57
IND,17.74,3.84,6.81,57
LAC,17.42,2.86,6.88,58
DET,16.87,3.58,6.49,65
MIA,16.78,4.01,6.14,52
PHO,16.49,4.15,5.64,75
SAC,16.26,3.33,6.65,73
CHI,16.24,3.25,6.37,75
BOS,15.99,4.04,5.96,75
PHI,15.6,4.13,5.64,90
UTA,15.15,3.14,6.4,72
WAS,14.3,2.72,6.34,43
OKC,13.97,4.67,3.96,27
ATL,13.73,3.4,5.4,80
NYK,13.53,2.83,5.87,53
POR,12.73,2.69,5.57,66
DAL,12.17,2.68,5.85,62
BRK,8.41,1.7,3.31,19
CHO,4.8,1.02,2.86,16
NOP,2.51,0.44,2.13,18
 
