player,team,points_per_game,average_total_rebounds,average_assists,win_shares_per_48_minutes,box_plus_minus,efficiency_index
LeBron James,CLE,27.1,7.5,7.4,0.23,8.9,17.01
Luka Dončić,ATL,26.4,8.5,8.0,0.156,6.8,16.1
Kevin Durant,SEA,27.2,7.1,4.3,0.216,6.8,16.0
Joel Embiid,PHI,26.0,11.4,3.3,0.205,5.9,15.98
James Harden,OKC,24.9,5.6,6.8,0.22,6.8,15.32
Shaquille O'Neal,ORL,23.7,10.9,2.5,0.208,5.1,14.75
Anthony Davis,NOH,23.8,10.2,2.3,0.211,6.0,14.73
Stephen Curry,GSW,24.3,4.6,6.5,0.203,6.5,14.62
Karl-Anthony Towns,MIN,23.2,11.3,3.1,0.193,4.8,14.57
Nikola Jokić,DEN,19.7,10.4,6.2,0.239,8.9,14.48
Trae Young,DAL,25.3,3.9,9.1,0.134,3.0,14.36
Allen Iverson,PHI,26.7,3.7,6.2,0.126,3.2,14.24
Damian Lillard,POR,24.6,4.2,6.6,0.175,4.7,14.22
Russell Westbrook,SEA,22.8,7.4,8.4,0.144,4.3,14.15
Kobe Bryant,CHH,25.0,5.2,4.7,0.17,4.6,14.14
Giannis Antetokounmpo,MIL,21.8,9.4,4.6,0.197,6.0,14.09
Kyrie Irving,CLE,23.1,3.8,5.7,0.166,4.5,13.25
Chris Paul,NOH,18.1,4.5,9.5,0.239,7.3,13.16
Tim Duncan,SAS,19.0,10.8,3.0,0.209,5.6,13.01
Dwyane Wade,MIA,22.0,4.7,5.4,0.162,5.0,12.94
Chris Webber,ORL,20.7,9.8,4.2,0.132,3.4,12.74
Donovan Mitchell,DEN,23.9,4.2,4.5,0.12,2.4,12.74
Dirk Nowitzki,MIL,20.7,7.5,2.4,0.193,4.5,12.64
Kawhi Leonard,IND,19.2,6.4,2.9,0.222,6.9,12.45
Blake Griffin,LAC,19.8,8.2,4.1,0.16,3.4,12.32
 
